File: S19.log ,   -0.27988 ,    -0.00575
File: S25.log ,   -0.26157 ,    -0.02659
File: S24.log ,   -0.25879 ,    -0.01954
File: S18.log ,   -0.25767 ,    -0.02612
File: S9.log ,   -0.27510 ,    -0.00396
File: S20.log ,   -0.26066 ,    -0.02697
File: S21.log ,   -0.26890 ,    -0.01787
File: S23.log ,   -0.25944 ,    -0.02008
File: S22.log ,   -0.26240 ,    -0.02488
File: S6.log ,   -0.27476 ,    -0.00345
File: S13.log ,   -0.30758 ,    -0.03629
File: S12.log ,   -0.30558 ,    -0.03457
File: S7.log ,   -0.25296 ,    -0.01566
File: S5.log ,   -0.27435 ,    -0.00316
File: S10.log ,   -0.26787 ,    -0.00013
File: S11.log ,   -0.27296 ,    -0.00208
File: S4.log ,   -0.27422 ,    -0.00323
File: S15.log ,   -0.30604 ,    -0.07208
File: S14.log ,   -0.30349 ,    -0.03128
File: S1.log ,   -0.27330 ,    -0.00301
File: S3.log ,   -0.26016 ,    -0.02011
File: S16.log ,   -0.30432 ,    -0.11413
File: S17.log ,   -0.26081 ,    -0.02053
File: S2.log ,   -0.27460 ,    -0.00437
