smiles,L,Bmin,Bmax,bur_shell,bur_vol,max_distance,tot_V,disp,max_axis,A2,min_axis
C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.2044644144937715,135.07500099085652,3.2440090839992797,7.051193889479687,0.6776785417525614,0.5685429449776626
C=C(OC)O[Si](C)(C)C(C)(C)C,7.141998742561872,2.865604849866472,6.4227235755619745,0.0,33.668792122053155,8.755992754023179,221.93709204891027,4.661170070345602,8.676644489891784,0.6015664523974447,0.5692135317248742
C=C(OCc1ccccc1)O[Si](C)(C)C(C)(C)C,7.19999523,3.491493244826951,7.182483372439103,0.0,33.46655127300882,11.542826749376793,355.17921413530377,8.337056546858054,11.241248596860043,0.5748605210401431,0.4349520691088332
C=C(OC1CCCCC1)O[Si](C)(C)C(C)(C)C,7.143542534606022,3.318403128422995,6.925882219330834,0.0,39.26008519459051,12.215868409605703,314.3123181068974,6.749227376244206,12.198374532708915,0.4336906858267373,0.39985787177088405
C=C(O[Si](C)(C)C(C)(C)C)c1ccccc1,6.4736218899999995,2.6600540208278143,6.751176750546785,0.0,37.99885679195772,10.20300315968065,251.7812529928333,6.204204681187952,10.081861332402497,0.5682307057622666,0.432390887665959
C=C(/C=C/c1ccccc1)O[Si](C)(C)C(C)(C)C,7.87981317,2.724232698456378,6.974914924495194,0.0,36.57249080984739,11.570523255562211,435.610684880683,6.9511310605140775,11.550306373320648,0.6423110110501872,0.44012156076643316
C=C/C=C(OC(C)C)\O[Si](C)(C)C(C)(C)C,8.811684290002662,2.651196095208498,5.8486558577098435,0.0,26.341789126435067,9.38458713048791,401.6673357889286,4.5929422565617575,9.342702762007022,0.939821745700359,0.5240870518746753
C=C1C=C(O[Si](C)(C)C)OC(C)(C)O1,8.724461850026321,2.9244596597122556,6.0364877918315125,0.0,30.57445287135924,9.576805850807023,283.3315489170274,4.019263790003018,9.508412183546943,0.6500278268736507,0.5070362240611322
CC/C=C(C)/C(=O)/C=C/C(C)C,7.27429292,2.8407568949779014,5.376007356264342,0.0,29.674667966370173,10.822992158426713,199.16268769828622,5.040471682754436,10.706656149030124,0.45718249167411784,0.3549415344105549
CC/C=C(C)/C(=O)/C=C/CCC,8.5028155,2.581274606053893,5.067684700614773,0.0,28.787868238374077,11.220607170012228,188.73659754294874,5.81407832258911,11.055794895861428,0.4255528874155718,0.3281955289899309
CC/C=C(C)/C(=O)/C=C/CC(C)C,8.60834884,2.6616241515621195,7.6177065470433165,0.0,29.781905479377663,12.385137072919232,194.96856848910036,8.587739874147358,12.317615448955568,0.3698959095078693,0.2820363917705769
CC/C=C(C)/C(=O)/C=C/C(CC)CC,8.46148413,2.123416442642585,7.9059056720894905,0.0,28.804387935127846,10.394127636934543,247.60612198970188,5.0379184069150345,10.227519022047865,0.5591975380392795,0.4138902919397298
CC/C=C(C)/C(=O)/C=C/C1CC1,8.11755332,2.3559561280102406,4.546257059844247,0.0,29.86017554816156,10.479411303698084,155.51748141048142,5.458758719083457,10.298509221705686,0.4817892257887601,0.29552827849786256
CC/C=C(C)/C(=O)/C=C/C1CCC1,7.09724541,2.1246920136298417,7.458472979557102,0.0,28.81526691620435,10.212144607340523,239.7875936610877,4.834800446665065,10.108074381892576,0.5330942839618676,0.43552931910108367
CC/C=C(C)/C(=O)/C=C/C1CCCC1,8.29998078,2.2247600800000003,5.378040782456083,0.0,29.761112348911045,9.919030083861482,204.83382275219256,5.861765645773936,9.257447751860173,0.6230027869490287,0.41441729523719123
CC/C=C(C)/C(=O)/C=C/C1CCCCC1,9.76617171,2.0397706875784176,7.290687662610518,0.0,28.79194345827221,12.905143817991844,227.50462335245848,9.701557708678237,12.864221714112698,0.33040913214728473,0.32343546208066004
CCCCC/C=C(C)/C(=O)/C=C/C(C)C,10.66921859,2.617985235858269,7.140355780793359,0.0,32.72936399410698,13.85663094744097,206.6593488586908,9.62033163938099,13.616978573026719,0.3056887542886762,0.26775237532306756
C/C(=C\CCCCCl)C(=O)/C=C/C(C)C,12.05402928,3.0226242424434426,5.856017728312272,0.0,38.21252389092162,13.847839975376148,207.42058419577435,9.714809311800092,13.773616155450021,0.29030476002709166,0.27343478888406214
C/C(=C\CCc1ccccc1)C(=O)/C=C/C(C)C,12.7217256,3.0987859919422958,6.412884908580354,0.0,38.21468729874154,15.329692077774107,245.01589663108595,5.023645386426991,15.284046387419354,0.3057396257549009,0.22445407336489132
C/C=C(C)/C(=O)/C=C/C(C)C,7.32447158,3.0518165726518207,4.3452031155496025,0.0,29.565092065631664,9.350504494823431,149.27775540008173,5.048314236256338,9.236860289882696,0.48173810020248936,0.39319770661845715
C/C=C(C)/C(=O)/C=C/C(C)(C)C,7.3165667899999995,3.068973993636667,4.484687551471176,0.0,29.56490437003425,9.479794322896364,170.6283750163802,5.782089337735192,9.308754066087888,0.5035536963261371,0.4200788311526115
CC/C=C(C)/C(=O)/C=C/c1ccccc1Br,9.82918177,2.587381050342663,6.946192863056403,0.0,29.78595111870515,13.057696069589733,214.33100938503995,9.62349111692861,13.030941910896306,0.3759222301229007,0.2576674588602261
C=C(OC)O[Si](C)(C)C,6.569144579998999,2.9117414131024684,5.028420400055936,0.0,33.521531373656934,7.397003087123177,172.01543729009114,4.6041005152271595,7.263699151445572,0.6714623610403075,0.6684550458013198
C=C(OCc1ccccc1)O[Si](C)(C)C,6.982498629987169,2.4080235343782874,7.438218996982498,0.0,34.78818435674774,10.798452058936101,282.2000759013502,8.3062633043278,10.53011619934097,0.5708454154212059,0.42338855870935294
