Unnamed: 0.1,reaction,starting electrophile SMILES,input electrophile SMILES,nucleophile SMILES,"3,3 Catalyst Substituent ",N Catalyst Substituent,solvent,Temperature (Celsius),Temperature (Kelvin),yield (%),ee (%),e.r. 1,e.r. 2,ddG,reference ,Link,Unnamed: 0,ster1,ster2,ster3,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur75,old_name,smiles_e,L_e,Bmin_e,Bmax_e,bur_shell_e,bur_vol_e,max_distance_e,tot_V_e,disp_e,max_axis_e,A2_e,min_axis_e,smiles_n,L_n,Bmin_n,Bmax_n,bur_shell_n,bur_vol_n,max_distance_n,tot_V_n,disp_n,max_axis_n,A2_n,min_axis_n
268,1a4c,C=C(C=O)CC,C=C(C=O)CC,C1=CCC=C1,CCc1cccc(CC)c1,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,91,95.5,4.5,1.18403886746725,"Nat. Commun. 2019, 10, 770",,ph_35et_5_1_m062x,6.84,2.44,5.27,246.182,0.0,183.583,0.0,-16.914,133.129,187.63,-0.27476,-0.00345,9.94497358379684,9.231137,8.231757,3.344133,11.3141041805734,CCc1cccc(CC)c1,C=C(C=O)CC,5.08854685,1.7,5.207886669639683,0.0,33.00710888924476,5.373205217155272,55.30040060727875,4.609393036585338,4.807894696716192,0.8850471984003366,0.5622079783501578,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
269,1a4d,C=C(C=O)CC,C=C(C=O)CC,C1=CCC=C1,Cc1ccccc1,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,46,73.0,27.0,0.385483782741176,"Nat. Commun. 2019, 10, 770",,ph_4me_2_1_m062x,7.91,1.71,3.23,224.093,0.187,139.133,-0.444,-0.203,87.739,150.32,-0.27296,-0.00208,10.1422232858064,10.092066,4.035209,1.730127,8.86213291218795,Cc1ccccc1,C=C(C=O)CC,5.08854685,1.7,5.207886669639683,0.0,33.00710888924476,5.373205217155272,55.30040060727875,4.609393036585338,4.807894696716192,0.8850471984003366,0.5622079783501578,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
270,1a4e,C=C(C=O)CC,C=C(C=O)CC,C1=CCC=C1,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,38,69.0,31.0,0.310100556893921,"Nat. Commun. 2019, 10, 770",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1,C=C(C=O)CC,5.08854685,1.7,5.207886669639683,0.0,33.00710888924476,5.373205217155272,55.30040060727875,4.609393036585338,4.807894696716192,0.8850471984003366,0.5622079783501578,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
271,1a4f,C=C(C=O)CC,C=C(C=O)CC,C1=CCC=C1,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,88,94.0,6.0,1.06640676305151,"Nat. Commun. 2019, 10, 770",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,C=C(C=O)CC,5.08854685,1.7,5.207886669639683,0.0,33.00710888924476,5.373205217155272,55.30040060727875,4.609393036585338,4.807894696716192,0.8850471984003366,0.5622079783501578,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
272,1a4g,C=C(C=O)CC,C=C(C=O)CC,C1=CCC=C1,c3ccc2ccc1ccccc1c2c3,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,75,87.5,12.5,0.754172310058055,"Nat. Commun. 2019, 10, 770",,ph_2phenanthryl_2_1_m062x,11.15,1.7,4.49,398.67,-3.093,216.418,1.097,3.542,119.968,245.02,-0.2624,-0.02488,13.5419959841396,13.534199,5.547484,2.268856,7.76716575469507,c3ccc2ccc1ccccc1c2c3,C=C(C=O)CC,5.08854685,1.7,5.207886669639683,0.0,33.00710888924476,5.373205217155272,55.30040060727875,4.609393036585338,4.807894696716192,0.8850471984003366,0.5622079783501578,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
273,1a4h,C=C(C=O)CC,C=C(C=O)CC,C1=CCC=C1,c3ccc2ccc1ccccc1c2c3,NS(=O)(=O)C(F)(F)C(F)(F)F,CH2Cl2,-78,195.15,,86,93.0,7.0,1.00251775704442,"Nat. Commun. 2019, 10, 770",,ph_2phenanthryl_2_1_m062x,11.15,1.7,4.49,398.67,-3.093,216.418,1.097,3.542,119.968,245.02,-0.2624,-0.02488,13.5419959841396,13.534199,5.547484,2.268856,7.76716575469507,c3ccc2ccc1ccccc1c2c3,C=C(C=O)CC,5.08854685,1.7,5.207886669639683,0.0,33.00710888924476,5.373205217155272,55.30040060727875,4.609393036585338,4.807894696716192,0.8850471984003366,0.5622079783501578,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
274,1a4i,C=C(C=O)CC,C=C(C=O)CC,C1=CCC=C1,c3ccc2ccc1ccccc1c2c3,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CH2Cl2,-78,195.15,,82,91.0,9.0,0.896690630869186,"Nat. Commun. 2019, 10, 770",,ph_2phenanthryl_2_1_m062x,11.15,1.7,4.49,398.67,-3.093,216.418,1.097,3.542,119.968,245.02,-0.2624,-0.02488,13.5419959841396,13.534199,5.547484,2.268856,7.76716575469507,c3ccc2ccc1ccccc1c2c3,C=C(C=O)CC,5.08854685,1.7,5.207886669639683,0.0,33.00710888924476,5.373205217155272,55.30040060727875,4.609393036585338,4.807894696716192,0.8850471984003366,0.5622079783501578,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
275,1b4b,C=C(C=O)Cc1ccccc1,C=C(C=O)Cc1ccccc1,C1=CCC=C1,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,36,68.0,32.0,0.292137754526229,"Nat. Commun. 2019, 10, 770",,ph_35prf_37_1_m062x,8.47,2.09,6.9,219.08,3.344,269.797,-14.54,17.381,150.891,213.26,-0.30558,-0.03457,11.3342537333604,10.61721,10.475027,3.604966,13.5412077737138,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,C=C(C=O)Cc1ccccc1,5.09159048,1.7,7.676973713484477,0.0,34.48788448871999,7.527330676069384,115.84387694335427,6.626776717735709,7.328869073785308,0.6874874454882551,0.4280528785241371,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
276,1b4c,C=C(C=O)Cc1ccccc1,C=C(C=O)Cc1ccccc1,C1=CCC=C1,CCc1cccc(CC)c1,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,89,94.5,5.5,1.10218564765954,"Nat. Commun. 2019, 10, 770",,ph_35et_5_1_m062x,6.84,2.44,5.27,246.182,0.0,183.583,0.0,-16.914,133.129,187.63,-0.27476,-0.00345,9.94497358379684,9.231137,8.231757,3.344133,11.3141041805734,CCc1cccc(CC)c1,C=C(C=O)Cc1ccccc1,5.09159048,1.7,7.676973713484477,0.0,34.48788448871999,7.527330676069384,115.84387694335427,6.626776717735709,7.328869073785308,0.6874874454882551,0.4280528785241371,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
277,1b4d,C=C(C=O)Cc1ccccc1,C=C(C=O)Cc1ccccc1,C1=CCC=C1,Cc1ccccc1,NS(=O)(=O)C(F)(F)F,CH2Cl2,-78,195.15,,46,73.0,27.0,0.385483782741176,"Nat. Commun. 2019, 10, 770",,ph_4me_2_1_m062x,7.91,1.71,3.23,224.093,0.187,139.133,-0.444,-0.203,87.739,150.32,-0.27296,-0.00208,10.1422232858064,10.092066,4.035209,1.730127,8.86213291218795,Cc1ccccc1,C=C(C=O)Cc1ccccc1,5.09159048,1.7,7.676973713484477,0.0,34.48788448871999,7.527330676069384,115.84387694335427,6.626776717735709,7.328869073785308,0.6874874454882551,0.4280528785241371,C1=CCC=C1,3.95099383,1.7,4.364411810000006,0.0,34.64665389759539,4.40031223723145,29.40602172997628,3.18884103717452,4.4003122364322005,0.8480671030937803,0.4069636073928716
