File: S19.log, 9.243798000000053, 9.243798, 4.025508, 1.478844
File: S25.log, 13.534644160843756, 13.306225, 8.696297, 2.621104
File: S24.log, 13.2404592165869, 13.185351, 7.626149, 3.9995950000000002
File: S18.log, 9.66621643400281, 9.625435, 7.1011690000000005, 3.3248990000000003
File: S9.log, 9.486903072185571, 9.228259999999999, 6.450354, 2.229484
File: S20.log, 11.427205608650306, 11.407403, 5.399177, 2.120202
File: S21.log, 13.544134000004467, 13.544134, 4.186529, 1.976382
File: S23.log, 13.24222186306645, 13.210125000000001, 7.440612, 3.8467209999999996
File: S22.log, 13.541995984139636, 13.534199000000001, 5.547484, 2.268856
File: S6.log, 9.944973583796841, 9.231137, 8.231757, 3.3441330000000002
File: S13.log, 10.018064419266777, 9.579745, 8.818121999999999, 4.787755
File: S12.log, 11.334253733360438, 10.61721, 10.475027, 3.604966
File: S7.log, 13.767906940711395, 13.573238, 6.685649, 3.459785
File: S5.log, 11.091054498331301, 10.348844, 10.214105, 3.554377
File: S10.log, 10.137667621018652, 10.086694999999999, 6.637015, 2.477484
File: S11.log, 10.14222328580637, 10.092065999999999, 4.035209, 1.730127
File: S4.log, 14.752397934799822, 14.540741, 10.314613000000001, 6.117094
File: S15.log, 10.014360450634978, 9.349922, 8.22777, 2.6475429999999998
File: S14.log, 9.770258692361066, 9.471022, 6.830997, 2.698051
File: S1.log, 11.500724396375125, 11.42182, 4.245001, 4.06217
File: S3.log, 13.243436720491966, 13.238781, 6.072505, 4.284955
File: S16.log, 11.516332000221773, 11.516332, 4.029331, 2.876557
File: S17.log, 13.532258236343887, 13.5208, 5.473468, 3.227716
File: S2.log, 12.325206274564739, 12.134833, 9.349912, 5.410155
