Unnamed: 0.1,reaction,starting electrophile SMILES,input electrophile SMILES,nucleophile SMILES,"3,3 Catalyst Substituent ",N Catalyst Substituent,solvent,Temperature (Celsius),Temperature (Kelvin),yield (%),ee (%),e.r. 1,e.r. 2,ddG,reference ,Link,Unnamed: 0,ster1,ster2,ster3,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur75,old_name,smiles_e,L_e,Bmin_e,Bmax_e,bur_shell_e,bur_vol_e,max_distance_e,tot_V_e,disp_e,max_axis_e,A2_e,min_axis_e,smiles_n,L_n,Bmin_n,Bmax_n,bur_shell_n,bur_vol_n,max_distance_n,tot_V_n,disp_n,max_axis_n,A2_n,min_axis_n
174,3aa,O=Cc1ccccc1,O=Cc1ccccc1,C=C/C=C/CCCCCC,FS(F)(F)(F)(F)c1cccc(S(F)(F)(F)(F)F)c1,NS(=O)(=O)C(F)(F)C(F)(F)F,Methylcyclohexane,-30,243.15,72.0,99,99.5,0.5,2.55611519730968,"J. Am. Chem. Soc. 2017, 139, 39, 13656–13656",,ph35sf5_idp_7_1_m062x,7.34,2.59,5.59,244.82,0.076,187.542,-0.022,14.349,120.171,184.18,-0.30604,-0.07208,10.014360450635,9.349922,8.22777,2.647543,14.0071536901728,FS(F)(F)(F)(F)c1cccc(S(F)(F)(F)(F)F)c1,O=Cc1ccccc1,6.33601596,1.7,5.717016250001086,0.0,26.302377250582943,6.096431217140619,0.0010784466548199,2.110482295912932,6.095937713530976,0.769040198748451,6.190533292135852e-06,C=C/C=C/CCCCCC,9.00736355232985,1.7007802046516012,6.881422766613043,0.0,25.86107046267576,9.918971640684305,154.99576837249808,7.939966557609115,9.833547146395173,0.5552957770695875,0.3009684234947019
175,3ab,O=Cc1ccccc1,O=Cc1ccccc1,C=C/C=C/C1CCCCC1,FS(F)(F)(F)(F)c1cccc(S(F)(F)(F)(F)F)c1,NS(=O)(=O)C(F)(F)C(F)(F)F,Methylcyclohexane,-30,243.15,66.5,99,99.5,0.5,2.55611519730968,"J. Am. Chem. Soc. 2017, 139, 39, 13656–13656",,ph35sf5_idp_7_1_m062x,7.34,2.59,5.59,244.82,0.076,187.542,-0.022,14.349,120.171,184.18,-0.30604,-0.07208,10.014360450635,9.349922,8.22777,2.647543,14.0071536901728,FS(F)(F)(F)(F)c1cccc(S(F)(F)(F)(F)F)c1,O=Cc1ccccc1,6.33601596,1.7,5.717016250001086,0.0,26.302377250582943,6.096431217140619,0.0010784466548199,2.110482295912932,6.095937713530976,0.769040198748451,6.190533292135852e-06,C=C/C=C/C1CCCCC1,7.848948404830866,1.7000000000000224,6.9231924452896,0.0,25.869970101909026,9.638179988199775,133.98062337972036,3.272925004062531,9.630962991194234,0.4369679856129056,0.3432284356653422
176,3ac,O=Cc1ccccc1,O=Cc1ccccc1,C=C(C)/C=C/C,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,NS(=O)(=O)C(F)(F)F,Methylcyclohexane,-60,213.15,81.0,92,96.0,4.0,1.34532071744219,"J. Am. Chem. Soc. 2017, 139, 39, 13656–13656",,ph_35prf_37_1_m062x,8.47,2.09,6.9,219.08,3.344,269.797,-14.54,17.381,150.891,213.26,-0.30558,-0.03457,11.3342537333604,10.61721,10.475027,3.604966,13.5412077737138,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,O=Cc1ccccc1,6.33601596,1.7,5.717016250001086,0.0,26.302377250582943,6.096431217140619,0.0010784466548199,2.110482295912932,6.095937713530976,0.769040198748451,6.190533292135852e-06,C=C(C)/C=C/C,5.811444060115068,1.981127010405504,4.663910209867531,0.0,31.46984899248088,6.546831164368162,45.19280248317661,4.76781741318702,6.419307450611435,0.6153462076433328,0.2776420327322943
177,3ad,O=Cc1ccccc1,O=Cc1ccccc1,C=C(C)C1=CCCCC1,FC(F)(F)C(F)(c1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1)C(F)(F)F,NS(=O)(=O)C(F)(F)F,Methylcyclohexane,-60,213.15,85.0,90,95.0,5.0,1.24642783646092,"J. Am. Chem. Soc. 2017, 139, 39, 13656–13656",,ph_35iprf_6_1_m062x,7.58,3.81,6.05,221.027,-0.004,264.605,14.263,0.0,149.677,211.77,-0.30758,-0.03629,10.0180644192668,9.579745,8.818122,4.787755,15.7956823355263,FC(F)(F)C(F)(c1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1)C(F)(F)F,O=Cc1ccccc1,6.33601596,1.7,5.717016250001086,0.0,26.302377250582943,6.096431217140619,0.0010784466548199,2.110482295912932,6.095937713530976,0.769040198748451,6.190533292135852e-06,C=C(C)C1=CCCCC1,6.105452499992924,2.1420370623965432,5.779638081220888,0.0,35.50023498261057,7.346706762403315,90.46399454552645,3.151380947823155,7.2781316806580145,0.5834087964526837,0.4022009212861934
178,3ae,O=Cc1ccccc1,O=Cc1ccccc1,C=C(/C=C/C(C)(C)C)C(C)(C)C,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,NS(=O)(=O)C(F)(F)F,Methylcyclohexane,-60,213.15,73.5,90,95.0,5.0,1.24642783646092,"J. Am. Chem. Soc. 2017, 139, 39, 13656–13656",,ph_35prf_37_1_m062x,8.47,2.09,6.9,219.08,3.344,269.797,-14.54,17.381,150.891,213.26,-0.30558,-0.03457,11.3342537333604,10.61721,10.475027,3.604966,13.5412077737138,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,O=Cc1ccccc1,6.33601596,1.7,5.717016250001086,0.0,26.302377250582943,6.096431217140619,0.0010784466548199,2.110482295912932,6.095937713530976,0.769040198748451,6.190533292135852e-06,C=C(/C=C/C(C)(C)C)C(C)(C)C,6.61447321,3.2654299800000004,6.299041100168758,0.0,38.407906994231006,8.826303164119654,190.0543281943021,6.89265469515159,8.499177103351915,0.6047123956645256,0.5119154726160333
179,3af,O=Cc1ccccc1,O=Cc1ccccc1,C=C(C)/C=C/CCOCc1ccccc1,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,NS(=O)(=O)C(F)(F)F,Methylcyclohexane,-60,213.15,84.0,90,95.0,5.0,1.24642783646092,"J. Am. Chem. Soc. 2017, 139, 39, 13656–13656",,ph_35prf_37_1_m062x,8.47,2.09,6.9,219.08,3.344,269.797,-14.54,17.381,150.891,213.26,-0.30558,-0.03457,11.3342537333604,10.61721,10.475027,3.604966,13.5412077737138,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,O=Cc1ccccc1,6.33601596,1.7,5.717016250001086,0.0,26.302377250582943,6.096431217140619,0.0010784466548199,2.110482295912932,6.095937713530976,0.769040198748451,6.190533292135852e-06,C=C(C)/C=C/CCOCc1ccccc1,8.67454947,2.0441032194736635,11.802976199448024,0.0,31.49594566932313,13.85819459181132,167.25748958766732,2.813184294800076,13.85790956590266,0.3323509383980621,0.1891017274070554
180,(opt) 4,CCC1(C)C=CC(=O)C=C1,CCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,30,65.0,35.0,0.311225614357558,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",https://onlinelibrary.wiley.com/doi/epdf/10.1002/anie.202000307,phenyl_idp_1_1_m062x,6.85,1.7,3.23,195.699,0.0,130.546,0.0,0.0,78.673,134.97,-0.27988,-0.00575,9.24379800000005,9.243798,4.025508,1.478844,8.30449535728804,c1ccccc1,CCC1(C)C=CC(=O)C=C1,6.8816489,2.6512835916344386,4.490237960007247,0.0,35.242082484476896,6.199417191959452,138.9161266265522,3.5466139533517294,5.914265728947339,0.8981590354455795,0.7476475621646774,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
181,5 (small reversal make sure we note absolute) ,CCC1(C)C=CC(=O)C=C1,CCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,2,51.0,49.0,0.0201129180085115,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,CCC1(C)C=CC(=O)C=C1,6.8816489,2.6512835916344386,4.490237960007247,0.0,35.242082484476896,6.199417191959452,138.9161266265522,3.5466139533517294,5.914265728947339,0.8981590354455795,0.7476475621646774,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
182,6,CCC1(C)C=CC(=O)C=C1,CCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2cccc(c1ccccc1)c2,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,34,67.0,33.0,0.356044216163377,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,ph_4ph_3_1_m062x,11.15,2.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2,CCC1(C)C=CC(=O)C=C1,6.8816489,2.6512835916344386,4.490237960007247,0.0,35.242082484476896,6.199417191959452,138.9161266265522,3.5466139533517294,5.914265728947339,0.8981590354455795,0.7476475621646774,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
183,7,CCC1(C)C=CC(=O)C=C1,CCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2cccc(c1ccccc1)c2,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,toluene,-20,253.15,,64,82.0,18.0,0.762352646729994,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,ph_4ph_3_1_m062x,11.15,2.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2,CCC1(C)C=CC(=O)C=C1,6.8816489,2.6512835916344386,4.490237960007247,0.0,35.242082484476896,6.199417191959452,138.9161266265522,3.5466139533517294,5.914265728947339,0.8981590354455795,0.7476475621646774,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
184,8,CCC1(C)C=CC(=O)C=C1,CCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2cccc(c1ccccc1)c2,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,toluene,-80,193.15,,84,92.0,8.0,0.936874309144782,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,ph_4ph_3_1_m062x,11.15,2.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2,CCC1(C)C=CC(=O)C=C1,6.8816489,2.6512835916344386,4.490237960007247,0.0,35.242082484476896,6.199417191959452,138.9161266265522,3.5466139533517294,5.914265728947339,0.8981590354455795,0.7476475621646774,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
185,9,CCC1(C)C=CC(=O)C=C1,CCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2cccc(c1ccccc1)c2,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,toluene,-95,178.15,,87,93.5,6.5,0.943302876312891,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,ph_4ph_3_1_m062x,11.15,2.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2,CCC1(C)C=CC(=O)C=C1,6.8816489,2.6512835916344386,4.490237960007247,0.0,35.242082484476896,6.199417191959452,138.9161266265522,3.5466139533517294,5.914265728947339,0.8981590354455795,0.7476475621646774,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
186,2a (scope) (note in SI we only take major products incase with rr and dr that can be isolated),CCC1(C)C=CC(=O)C=C1,CCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2cccc(c1ccccc1)c2,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,toluene,-80,193.15,92.0,84,92.0,8.0,0.936874309144782,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,ph_4ph_3_1_m062x,11.15,2.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2,CCC1(C)C=CC(=O)C=C1,6.8816489,2.6512835916344386,4.490237960007247,0.0,35.242082484476896,6.199417191959452,138.9161266265522,3.5466139533517294,5.914265728947339,0.8981590354455795,0.7476475621646774,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
187,2b,CCCC1(C)C=CC(=O)C=C1,CCCC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2cccc(c1ccccc1)c2,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,toluene,-80,193.15,98.0,92,96.0,4.0,1.21908841930077,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,ph_4ph_3_1_m062x,11.15,2.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2,CCCC1(C)C=CC(=O)C=C1,8.633610000000001,2.6540801635255087,4.912005575148297,0.0,28.95598538717918,8.288726238470316,129.9381176818609,6.907485738413817,8.269879710498667,0.5217665357984645,0.4403142814276318,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
188,2c,CC1(C)C=CC(=O)C=C1,CC1(C)C=CC(=O)C=C1,C1=CCC=C1,c2cccc(c1ccccc1)c2,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,toluene,-95,178.15,85.0,92,96.0,4.0,1.1244141956947,"Angew. Chem. Int. Ed.2020,59, 12347 –12351",,ph_4ph_3_1_m062x,11.15,2.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2,CC1(C)C=CC(=O)C=C1,6.80905725,2.6494230728425854,3.300330077738054,0.0,39.34738410549916,5.928284969114224,109.87444994284378,3.31388113953569,5.719051259613797,0.772970690910736,0.7599092301350742,C1=CCC=C1,3.950992459999969,1.6999999999999993,4.364413100000043,0.0,34.647960870944765,4.400311548801183,29.40585152028629,3.1888570261315423,4.400311548799865,0.8480622320923865,0.4069637800260464
